Year,Current_Franchise,Rnd,OvPck,Debut_Year,fg_id,TC_Hitting_WAR,TC_Pitching_WAR,TC_Total_WAR,Career_Hitting_WAR,Career_Pitching_WAR,Career_Total_WAR
1965,Atlanta Braves,283,6501,3935.0,2017926.0,12.7,0.2,12.899999999999999,17.6,0.2,17.8
1965,Baltimore Orioles,679,10580,5901.0,3027648.0,0.1,0.4,0.5,-0.19999999999999996,0.4,0.2
1965,Boston Red Sox,147,2950,9842.0,5035479.0,17.499999999999996,0.7,18.199999999999996,43.2,0.7,43.9
1965,Chicago Cubs,303,5879,13777.0,7052379.0,-0.39999999999999997,26.999999999999996,26.599999999999998,-0.10000000000000003,44.4,44.3
1965,Chicago White Sox,389,7435,7876.0,4029518.0,-1.5000000000000002,0.7,-0.8,-1.5000000000000002,0.7,-0.8
1965,Cincinnati Reds,286,6055,5904.0,3011448.0,56.9,0.0,56.9,124.10000000000001,0.0,124.10000000000001
1965,Cleveland Indians,69,1495,3940.0,2004352.0,9.6,-0.8,8.799999999999999,10.5,-0.8,9.7
1965,Detroit Tigers,389,6515,5908.0,3021924.0,-0.8,3.9000000000000004,3.1,-0.8,3.2,2.4
1965,Houston Astros,1056,16162,5910.0,3033915.0,-0.2,0.0,-0.2,-1.3,0.0,-1.3
1965,Los Angeles Angels,182,4373,11814.0,6060185.0,2.4,23.5,25.9,3.8999999999999995,31.400000000000002,35.3
1965,Los Angeles Dodgers,234,4472,5906.0,3017226.0,-1.0,4.1000000000000005,3.0999999999999996,-1.3,5.0,3.7
1965,Minnesota Twins,882,11222,5904.0,3020885.0,23.0,-0.3,22.7,65.7,-0.3,65.4
1965,New York Mets,651,13639,17711.0,9076401.0,8.5,24.799999999999997,33.3,6.1000000000000005,137.9,144.00000000000003
1965,New York Yankees,413,7998,7874.0,4025683.0,-2.0,12.000000000000002,10.0,-2.2,18.900000000000002,16.700000000000003
1965,Oakland Athletics,516,8159,13775.0,7045250.0,62.60000000000001,-1.0,61.60000000000001,132.0,-1.0,131.0
1965,Philadelphia Phillies,354,4898,5904.0,3013358.0,8.1,4.0,12.100000000000001,24.2,4.1,28.299999999999997
1965,Pittsburgh Pirates,563,10536,9843.0,5041299.0,14.0,20.6,34.599999999999994,21.2,36.0,57.199999999999996
1965,San Francisco Giants,467,8947,7874.0,4017415.0,2.9000000000000004,8.0,10.9,2.7,8.1,10.8
1965,St. Louis Cardinals,647,10708,5908.0,3033053.0,-0.39999999999999997,3.7,3.3,-0.39999999999999997,3.7,3.3
